ID;Temporada;Jornada;Local;Visitant;1;X;2;Resultat
5060101;05-06;1;Valencia;Betis;0,4668;0,2859;0,2473;1
5060102;05-06;1;Sevilla;Racing Santander;0,5903;0,2541;0,1556;1
5060103;05-06;1;Cadiz CF;Real Madrid;0,1211;0,235;0,6439;2
5060104;05-06;1;Celta Vigo;Malaga;0,4308;0,2877;0,2815;1
5060105;05-06;1;Espanyol;Getafe;0,5567;0,2632;0,1801;2
5060106;05-06;1;Alaves;Barcelona;0,1256;0,2455;0,6289;X
5060107;05-06;1;Mallorca;Dep. La Coruna;0,3622;0,2881;0,3497;2
5060108;05-06;1;Atl. Madrid;Zaragoza;0,5696;0,2658;0,1646;X
5060109;05-06;1;Osasuna;Villarreal;0,327;0,2817;0,3913;1
5060110;05-06;1;Levante;El Ejido;0,5047;0,2849;0,2103;1
5060111;05-06;1;Numancia;Almeria;0,4991;0,2962;0,2047;1
5060112;05-06;1;Hercules;Malaga B;0,4126;0,3102;0,2772;X
5060113;05-06;1;Valladolid;Murcia;0,4755;0,2994;0,2251;1
5060114;05-06;1;Lleida;Castellon;0,4562;0,3078;0,236;1
5060301;05-06;3;Villarreal;Sevilla;0,4768;0,2817;0,2415;X
5060302;05-06;3;Betis;Osasuna;0,5744;0,2618;0,1638;1
5060303;05-06;3;Zaragoza;Valencia;0,3611;0,2875;0,3514;X
5060304;05-06;3;Barcelona;Mallorca;0,7527;0,1577;0,0897;1
5060305;05-06;3;Real Sociedad;Alaves;0,4849;0,2855;0,2297;1
5060306;05-06;3;Getafe;Ath Bilbao;0,3979;0,2887;0,3134;X
5060307;05-06;3;Malaga;Espanyol;0,4443;0,2833;0,2724;2
5060308;05-06;3;Real Madrid;Celta Vigo;0,7298;0,1796;0,0906;2
5060309;05-06;3;Racing Santander;Cadiz CF;0,468;0,2867;0,2453;2
5060310;05-06;3;Levante;Elche;0,5232;0,2992;0,1775;1
5060311;05-06;3;Hercules;Almeria;0,3759;0,3315;0,2926;X
5060312;05-06;3;Tenerife;Malaga B;0,4961;0,3037;0,2002;1
5060313;05-06;3;Gijon;Recreativo Huelva;0,4236;0,3203;0,2561;X
5060314;05-06;3;Valladolid;Gimnastic;0,5216;0,2971;0,1813;2
5060501;05-06;5;Valencia;Real Sociedad;0,621;0,2494;0,1296;1
5060502;05-06;5;Zaragoza;Dep. La Coruna;0,3932;0,286;0,3208;X
5060503;05-06;5;Celta Vigo;Sevilla;0,3995;0,2915;0,309;1
5060504;05-06;5;Espanyol;Villarreal;0,3912;0,2959;0,3129;2
5060505;05-06;5;Ath Bilbao;Racing Santander;0,5366;0,2731;0,1903;X
5060506;05-06;5;Alaves;Real Madrid;0,153;0,2592;0,5878;2
5060507;05-06;5;Mallorca;Malaga;0,4395;0,2866;0,2739;2
5060508;05-06;5;Atl. Madrid;Getafe;0,5588;0,2704;0,1708;2
5060509;05-06;5;Osasuna;Cadiz CF;0,4834;0,2841;0,2326;1
5060510;05-06;5;Levante;Albacete;0,4796;0,3114;0,209;X
5060511;05-06;5;Granada 74;Castellon;0,5291;0,2777;0,1931;X
5060512;05-06;5;Tenerife;Almeria;0,445;0,3139;0,2411;1
5060513;05-06;5;Valladolid;Malaga B;0,5227;0,2938;0,1835;X
5060514;05-06;5;Lleida;Xerez CD;0,4369;0,3176;0,2454;2
5060601;05-06;6;Villarreal;Ath Bilbao;0,504;0,2798;0,2162;1
5060602;05-06;6;Sevilla;Espanyol;0,5028;0,2798;0,2174;X
5060603;05-06;6;Cadiz CF;Celta Vigo;0,3703;0,2897;0,3401;X
5060604;05-06;6;Dep. La Coruna;Osasuna;0,5527;0,2675;0,1799;2
5060605;05-06;6;Barcelona;Zaragoza;0,6907;0,212;0,0973;X
5060606;05-06;6;Getafe;Valencia;0,3321;0,2891;0,3788;1
5060607;05-06;6;Malaga;Atl. Madrid;0,388;0,2861;0,3259;2
5060608;05-06;6;Real Madrid;Mallorca;0,7347;0,1748;0,0905;1
5060609;05-06;6;Racing Santander;Alaves;0,4769;0,2853;0,2378;2
5060610;05-06;6;Castellon;Tenerife;0,3048;0,3167;0,3785;1
5060611;05-06;6;Numancia;Granada 74;0,4281;0,3184;0,2535;X
5060612;05-06;6;Xerez CD;Hercules;0,4584;0,3159;0,2257;1
5060613;05-06;6;Gimnastic;Levante;0,3233;0,3268;0,3499;1
5060614;05-06;6;Almeria;Gijon;0,3921;0,3251;0,2829;1
5060801;05-06;8;Valencia;Malaga;0,6006;0,2531;0,1463;1
5060802;05-06;8;Betis;Getafe;0,4752;0,2866;0,2382;1
5060803;05-06;8;Zaragoza;Real Sociedad;0,5171;0,2782;0,2047;2
5060804;05-06;8;Dep. La Coruna;Barcelona;0,267;0,2862;0,4468;X
5060805;05-06;8;Espanyol;Cadiz CF;0,5055;0,2832;0,2113;2
5060806;05-06;8;Ath Bilbao;Sevilla;0,4266;0,2912;0,2822;2
5060807;05-06;8;Alaves;Villarreal;0,3602;0,2906;0,3492;X
5060808;05-06;8;Mallorca;Racing Santander;0,4198;0,2915;0,2887;X
5060809;05-06;8;Osasuna;Celta Vigo;0,4285;0,2911;0,2804;1
5060810;05-06;8;Castellon;Valladolid;0,2835;0,32;0,3965;X
5060811;05-06;8;Xerez CD;Tenerife;0,4169;0,3225;0,2606;1
5060812;05-06;8;Hercules;Granada 74;0,4034;0,3244;0,2722;1
5060813;05-06;8;Albacete;Elche;0,4506;0,3045;0,2449;2
5060814;05-06;8;Gimnastic;Racing Club Ferrol;0,483;0,3141;0,2028;2
5060901;05-06;9;Villarreal;Mallorca;0,5959;0,2578;0,1464;1
5060902;05-06;9;Sevilla;Alaves;0,5681;0,2674;0,1645;1
5060903;05-06;9;Cadiz CF;Ath Bilbao;0,4014;0,2905;0,3081;1
5060904;05-06;9;Celta Vigo;Espanyol;0,4574;0,285;0,2577;1
5060905;05-06;9;Barcelona;Osasuna;0,6966;0,206;0,0974;1
5060906;05-06;9;Real Sociedad;Dep. La Coruna;0,38;0,2917;0,3283;1
5060907;05-06;9;Getafe;Zaragoza;0,421;0,2923;0,2868;1
5060908;05-06;9;Malaga;Betis;0,3772;0,2919;0,3309;1
5060909;05-06;9;Racing Santander;Atl. Madrid;0,3545;0,2896;0,3559;2
5060910;05-06;9;Levante;Real Madrid B;0,5018;0,2964;0,2018;1
5060911;05-06;9;Elche;Gimnastic;0,5017;0,3065;0,1919;1
5060912;05-06;9;Murcia;Albacete;0,4601;0,3116;0,2283;1
5060913;05-06;9;Tenerife;Hercules;0,4701;0,3151;0,2148;X
5060914;05-06;9;Valladolid;Numancia;0,4568;0,3142;0,229;1
5061001;05-06;10;Valencia;Racing Santander;0,6398;0,234;0,1262;X
5061002;05-06;10;Zaragoza;Malaga;0,4601;0,2897;0,2502;X
5061003;05-06;10;Dep. La Coruna;Getafe;0,5066;0,2821;0,2113;1
5061004;05-06;10;Barcelona;Real Sociedad;0,69;0,2065;0,1035;1
5061005;05-06;10;Ath Bilbao;Celta Vigo;0,4715;0,2772;0,2513;X
5061006;05-06;10;Alaves;Cadiz CF;0,4093;0,2901;0,3006;X
5061007;05-06;10;Mallorca;Sevilla;0,3368;0,2908;0,3724;X
5061008;05-06;10;Atl. Madrid;Villarreal;0,4183;0,2895;0,2923;X
5061009;05-06;10;Osasuna;Espanyol;0,5014;0,2856;0,213;1
5061010;05-06;10;Xerez CD;Valladolid;0,4226;0,3203;0,2572;X
5061011;05-06;10;Hercules;Gijon;0,4226;0,3177;0,2597;1
5061012;05-06;10;Granada 74;Tenerife;0,395;0,3203;0,2847;1
5061013;05-06;10;Albacete;Lleida;0,5008;0,306;0,1932;1
5061014;05-06;10;Almeria;Levante;0,3855;0,3219;0,2926;1
5061101;05-06;11;Sevilla;Atl. Madrid;0,4416;0,2893;0,2691;X
5061102;05-06;11;Cadiz CF;Mallorca;0,4733;0,2857;0,241;2
5061103;05-06;11;Celta Vigo;Alaves;0,5436;0,2734;0,183;1
5061104;05-06;11;Espanyol;Ath Bilbao;0,4165;0,2945;0,289;X
5061105;05-06;11;Real Sociedad;Osasuna;0,4545;0,2892;0,2563;2
5061106;05-06;11;Getafe;Barcelona;0,1793;0,2677;0,553;2
5061107;05-06;11;Malaga;Dep. La Coruna;0,3758;0,2963;0,3278;X
5061108;05-06;11;Real Madrid;Zaragoza;0,6672;0,2246;0,1082;1
5061109;05-06;11;Racing Santander;Betis;0,3904;0,2928;0,3168;X
5061110;05-06;11;Levante;Castellon;0,5784;0,2709;0,1507;1
5061111;05-06;11;Murcia;Recreativo Huelva;0,4299;0,3198;0,2503;2
5061112;05-06;11;Albacete;Gimnastic;0,4533;0,3194;0,2272;2
5061113;05-06;11;Valladolid;Hercules;0,4742;0,3178;0,208;X
5061114;05-06;11;Lleida;Tenerife;0,382;0,3217;0,2963;1
5061301;05-06;13;Villarreal;Zaragoza;0,4984;0,2859;0,2156;X
5061302;05-06;13;Sevilla;Betis;0,4368;0,312;0,2513;1
5061303;05-06;13;Cadiz CF;Valencia;0,295;0,2941;0,4109;2
5061304;05-06;13;Celta Vigo;Atl. Madrid;0,398;0,2956;0,3064;1
5061305;05-06;13;Espanyol;Mallorca;0,4486;0,2938;0,2576;1
5061306;05-06;13;Ath Bilbao;Alaves;0,5245;0,2773;0,1982;2
5061307;05-06;13;Getafe;Osasuna;0,4018;0,2942;0,304;X
5061308;05-06;13;Malaga;Real Sociedad;0,4206;0,2924;0,287;1
5061309;05-06;13;Racing Santander;Dep. La Coruna;0,3317;0,2964;0,372;2
5061310;05-06;13;El Ejido;Numancia;0,4049;0,3132;0,2818;2
5061311;05-06;13;Elche;Almeria;0,4418;0,3119;0,2463;X
5061312;05-06;13;Gimnastic;Recreativo Huelva;0,333;0,3199;0,3471;X
5061313;05-06;13;Valladolid;Tenerife;0,5157;0,2962;0,1881;X
5061314;05-06;13;Lleida;Gijon;0,392;0,3117;0,2963;2
5061401;05-06;14;Valencia;Celta Vigo;0,5328;0,2776;0,1896;1
5061402;05-06;14;Betis;Cadiz CF;0,5072;0,2851;0,2077;X
5061403;05-06;14;Zaragoza;Sevilla;0,3847;0,3015;0,3138;2
5061404;05-06;14;Dep. La Coruna;Villarreal;0,4361;0,294;0,2699;2
5061405;05-06;14;Barcelona;Racing Santander;0,7766;0,1348;0,0886;1
5061406;05-06;14;Getafe;Malaga;0,4497;0,2936;0,2568;1
5061407;05-06;14;Mallorca;Ath Bilbao;0,4045;0,2958;0,2997;2
5061408;05-06;14;Atl. Madrid;Espanyol;0,5365;0,2796;0,1838;X
5061409;05-06;14;Osasuna;Alaves;0,558;0,2708;0,1711;1
5061410;05-06;14;Hercules;Levante;0,3832;0,3216;0,2952;1
5061411;05-06;14;Gijon;Valladolid;0,3629;0,3214;0,3158;X
5061412;05-06;14;Recreativo Huelva;Lleida;0,5371;0,2803;0,1827;1
5061413;05-06;14;Real Madrid B;Albacete;0,4254;0,3102;0,2643;1
5061414;05-06;14;Almeria;Murcia;0,4361;0,313;0,2509;1
5061501;05-06;15;Villarreal;Barcelona;0,2296;0,2824;0,488;2
5061502;05-06;15;Sevilla;Dep. La Coruna;0,4349;0,296;0,2691;2
5061503;05-06;15;Cadiz CF;Zaragoza;0,4086;0,3024;0,2891;2
5061504;05-06;15;Celta Vigo;Betis;0,4837;0,2858;0,2305;1
5061505;05-06;15;Espanyol;Valencia;0,3162;0,294;0,3899;2
5061506;05-06;15;Alaves;Mallorca;0,4227;0,2963;0,281;2
5061507;05-06;15;Malaga;Osasuna;0,3886;0,2971;0,3143;2
5061508;05-06;15;Real Madrid;Getafe;0,6825;0,21;0,1075;1
5061509;05-06;15;Racing Santander;Real Sociedad;0,3864;0,2976;0,316;X
5061510;05-06;15;Levante;Granada 74;0,4638;0,3124;0,2238;1
5061511;05-06;15;Murcia;Castellon;0,5473;0,2859;0,1668;1
5061512;05-06;15;Albacete;Almeria;0,3733;0,3177;0,309;1
5061513;05-06;15;Lorca Deportiva;Tenerife;0,4366;0,3101;0,2533;X
5061514;05-06;15;Lleida;Valladolid;0,2929;0,3123;0,3948;2
5061601;05-06;16;Betis;Espanyol;0,4398;0,2937;0,2665;X
5061602;05-06;16;Zaragoza;Celta Vigo;0,405;0,2965;0,2985;1
5061603;05-06;16;Dep. La Coruna;Cadiz CF;0,5782;0,2657;0,1561;1
5061604;05-06;16;Barcelona;Sevilla;0,7145;0,1932;0,0923;1
5061605;05-06;16;Real Sociedad;Villarreal;0,3249;0,3017;0,3734;2
5061606;05-06;16;Getafe;Racing Santander;0,5158;0,2842;0,2;2
5061607;05-06;16;Malaga;Real Madrid;0,229;0,281;0,4899;2
5061608;05-06;16;Atl. Madrid;Alaves;0,5929;0,2648;0,1423;X
5061609;05-06;16;Osasuna;Mallorca;0,5569;0,2633;0,1798;1
5061610;05-06;16;Castellon;Albacete;0,3589;0,3251;0,316;X
5061611;05-06;16;Numancia;Murcia;0,3738;0,3126;0,3137;X
5061612;05-06;16;Tenerife;Levante;0,3857;0,314;0,3003;2
5061613;05-06;16;Valladolid;Eibar;0,5368;0,2911;0,1721;X
5061614;05-06;16;Almeria;Gimnastic;0,4807;0,3006;0,2187;2
5061701;05-06;17;Villarreal;Getafe;0,6022;0,2625;0,1353;1
5061702;05-06;17;Sevilla;Real Sociedad;0,5533;0,2694;0,1773;1
5061703;05-06;17;Cadiz CF;Barcelona;0,1093;0,2067;0,684;2
5061704;05-06;17;Espanyol;Zaragoza;0,3862;0,2971;0,3167;X
5061705;05-06;17;Ath Bilbao;Betis;0,4231;0,2939;0,283;1
5061706;05-06;17;Alaves;Valencia;0,2297;0,2917;0,4786;2
5061707;05-06;17;Mallorca;Atl. Madrid;0,3671;0,2968;0,3361;X
5061708;05-06;17;Real Madrid;Osasuna;0,6145;0,2436;0,1419;X
5061709;05-06;17;Racing Santander;Malaga;0,4079;0,2961;0,2961;X
5061710;05-06;17;Levante;Gijon;0,4778;0,3015;0,2207;X
5061711;05-06;17;El Ejido;Tenerife;0,4193;0,3015;0,2791;1
5061712;05-06;17;Murcia;Xerez CD;0,4055;0,3192;0,2753;2
5061713;05-06;17;Albacete;Numancia;0,4433;0,3135;0,2432;X
5061714;05-06;17;Gimnastic;Castellon;0,5166;0,2872;0,1963;X
5061801;05-06;18;Valencia;Mallorca;0,6531;0,2332;0,1137;1
5061802;05-06;18;Betis;Alaves;0,528;0,2718;0,2002;1
5061803;05-06;18;Dep. La Coruna;Espanyol;0,5776;0,267;0,1554;2
5061804;05-06;18;Barcelona;Celta Vigo;0,7485;0,1609;0,0907;1
5061805;05-06;18;Real Sociedad;Cadiz CF;0,4922;0,2817;0,2261;1
5061806;05-06;18;Getafe;Sevilla;0,3695;0,2884;0,342;1
5061807;05-06;18;Malaga;Villarreal;0,2714;0,2959;0,4327;X
5061808;05-06;18;Real Madrid;Racing Santander;0,7212;0,1821;0,0966;2
5061809;05-06;18;Osasuna;Atl. Madrid;0,5055;0,2798;0,2148;1
5061810;05-06;18;Castellon;Recreativo Huelva;0,2218;0,3116;0,4666;1
5061811;05-06;18;Numancia;Gimnastic;0,3915;0,3227;0,2858;2
5061812;05-06;18;Xerez CD;Albacete;0,5078;0,3006;0,1916;1
5061813;05-06;18;Hercules;Murcia;0,4203;0,3212;0,2585;X
5061814;05-06;18;Valladolid;Levante;0,4218;0,3208;0,2574;X
5061901;05-06;19;Villarreal;Real Madrid;0,3796;0,2877;0,3327;X
5061902;05-06;19;Sevilla;Malaga;0,545;0,2741;0,1809;1
5061903;05-06;19;Cadiz CF;Getafe;0,3813;0,2917;0,327;1
5061904;05-06;19;Celta Vigo;Real Sociedad;0,4985;0,2867;0,2148;1
5061905;05-06;19;Ath Bilbao;Dep. La Coruna;0,3605;0,3053;0,3342;2
5061906;05-06;19;Alaves;Zaragoza;0,3755;0,2671;0,3574;2
5061907;05-06;19;Mallorca;Betis;0,4008;0,2563;0,3429;X
5061908;05-06;19;Atl. Madrid;Valencia;0,3112;0,2934;0,3954;X
5061909;05-06;19;Osasuna;Racing Santander;0,5771;0,2644;0,1585;X
5061910;05-06;19;El Ejido;Valladolid;0,3307;0,3247;0,3447;X
5061911;05-06;19;Murcia;Granada 74;0,4065;0,3197;0,2739;X
5061912;05-06;19;Albacete;Hercules;0,4128;0,3165;0,2706;1
5061913;05-06;19;Gimnastic;Xerez CD;0,3299;0,3263;0,3438;2
5061914;05-06;19;Recreativo Huelva;Numancia;0,5513;0,2817;0,167;X
5062001;05-06;20;Valencia;Osasuna;0,5593;0,2714;0,1692;1
5062002;05-06;20;Zaragoza;Mallorca;0,5308;0,2783;0,1909;1
5062003;05-06;20;Dep. La Coruna;Alaves;0,645;0,2353;0,1196;2
5062004;05-06;20;Barcelona;Ath Bilbao;0,7795;0,1415;0,0791;1
5062005;05-06;20;Real Sociedad;Espanyol;0,4172;0,2965;0,2863;2
5062006;05-06;20;Getafe;Celta Vigo;0,4161;0,2929;0,291;X
5062007;05-06;20;Malaga;Cadiz CF;0,4656;0,2936;0,2407;2
5062008;05-06;20;Real Madrid;Sevilla;0,5821;0,2589;0,1589;1
5062009;05-06;20;Racing Santander;Villarreal;0,3054;0,2946;0,4001;1
5062010;05-06;20;Xerez CD;Recreativo Huelva;0,4331;0,3154;0,2515;X
5062011;05-06;20;Hercules;Gimnastic;0,4086;0,3242;0,2671;2
5062012;05-06;20;Tenerife;Murcia;0,379;0,3266;0,2945;1
5062013;05-06;20;Gijon;Elche;0,4299;0,3217;0,2484;X
5062014;05-06;20;Valladolid;Racing Club Ferrol;0,4947;0,312;0,1934;X
5062101;05-06;21;Villarreal;Osasuna;0,5076;0,2838;0,2086;1
5062102;05-06;21;Betis;Valencia;0,3283;0,2945;0,3772;2
5062103;05-06;21;Zaragoza;Atl. Madrid;0,446;0,295;0,259;2
5062104;05-06;21;Dep. La Coruna;Mallorca;0,6186;0,2458;0,1356;X
5062105;05-06;21;Barcelona;Alaves;0,7811;0,1306;0,0884;1
5062106;05-06;21;Getafe;Espanyol;0,4217;0,2937;0,2846;1
5062107;05-06;21;Malaga;Celta Vigo;0,3783;0,2925;0,3293;2
5062108;05-06;21;Real Madrid;Cadiz CF;0,7406;0,1625;0,0968;1
5062109;05-06;21;Racing Santander;Sevilla;0,3519;0,2935;0,3546;2
5062110;05-06;21;Elche;Valladolid;0,4116;0,3205;0,2679;2
5062111;05-06;21;Murcia;Gijon;0,3821;0,3232;0,2947;1
5062112;05-06;21;Albacete;Tenerife;0,4493;0,3198;0,231;1
5062113;05-06;21;Recreativo Huelva;Hercules;0,5347;0,2955;0,1698;1
5062114;05-06;21;Almeria;Castellon;0,5429;0,2945;0,1627;1
5062201;05-06;22;Valencia;Zaragoza;0,5746;0,2648;0,1606;X
5062202;05-06;22;Sevilla;Villarreal;0,4202;0,2936;0,2862;1
5062203;05-06;22;Cadiz CF;Racing Santander;0,4075;0,2939;0,2986;X
5062204;05-06;22;Celta Vigo;Real Madrid;0,2415;0,2817;0,4768;2
5062205;05-06;22;Espanyol;Malaga;0,4786;0,2845;0,2369;1
5062206;05-06;22;Ath Bilbao;Getafe;0,4686;0,2864;0,245;1
5062207;05-06;22;Alaves;Real Sociedad;0,3671;0,298;0,3349;1
5062208;05-06;22;Mallorca;Barcelona;0,1159;0,2206;0,6635;2
5062209;05-06;22;Osasuna;Betis;0,5078;0,2794;0,2128;2
5062210;05-06;22;Castellon;Lleida;0,4179;0,3232;0,2589;2
5062211;05-06;22;Murcia;Valladolid;0,3712;0,3243;0,3045;X
5062212;05-06;22;Albacete;Gijon;0,4193;0,316;0,2647;1
5062213;05-06;22;Gimnastic;Tenerife;0,4929;0,3051;0,202;X
5062214;05-06;22;Almeria;Numancia;0,5063;0,309;0,1848;2
5062301;05-06;23;Villarreal;Cadiz CF;0,5743;0,2647;0,161;X
5062302;05-06;23;Sevilla;Osasuna;0,5172;0,2817;0,2012;2
5062303;05-06;23;Zaragoza;Betis;0,4407;0,2924;0,267;1
5062304;05-06;23;Barcelona;Atl. Madrid;0,6387;0,2299;0,1314;2
5062305;05-06;23;Real Sociedad;Mallorca;0,5038;0,2804;0,2158;1
5062306;05-06;23;Getafe;Alaves;0,5165;0,2813;0,2022;X
5062307;05-06;23;Malaga;Ath Bilbao;0,4048;0,2932;0,3019;1
5062308;05-06;23;Real Madrid;Espanyol;0,703;0,1982;0,0988;1
5062309;05-06;23;Racing Santander;Celta Vigo;0,3881;0,2964;0,3155;2
5062310;05-06;23;Numancia;Castellon;0,4645;0,3168;0,2187;1
5062311;05-06;23;Granada 74;Malaga B;0,4958;0,3116;0,1926;1
5062312;05-06;23;Tenerife;Recreativo Huelva;0,3201;0,3271;0,3528;1
5062313;05-06;23;Gijon;Gimnastic;0,4126;0,3189;0,2685;2
5062314;05-06;23;Valladolid;Albacete;0,4823;0,3115;0,2062;2
5062401;05-06;24;Betis;Dep. La Coruna;0,3841;0,3007;0,3152;2
5062402;05-06;24;Cadiz CF;Sevilla;0,3379;0,3073;0,3548;2
5062403;05-06;24;Celta Vigo;Villarreal;0,4308;0,2895;0,2798;1
5062404;05-06;24;Espanyol;Racing Santander;0,4273;0,2931;0,2796;2
5062405;05-06;24;Ath Bilbao;Real Madrid;0,2296;0,283;0,4874;2
5062406;05-06;24;Alaves;Malaga;0,4351;0,2929;0,272;1
5062407;05-06;24;Mallorca;Getafe;0,3941;0,2959;0,31;X
5062408;05-06;24;Atl. Madrid;Real Sociedad;0,5771;0,2693;0,1536;1
5062409;05-06;24;Osasuna;Zaragoza;0,4307;0,2922;0,2772;X
5062410;05-06;24;Numancia;Lleida;0,4272;0,3193;0,2535;1
5062411;05-06;24;Murcia;Lorca Deportiva;0,3944;0,3246;0,281;2
5062412;05-06;24;Gimnastic;Valladolid;0,3916;0,3252;0,2832;1
5062413;05-06;24;Recreativo Huelva;Gijon;0,5081;0,3066;0,1853;X
5062414;05-06;24;Almeria;Hercules;0,4914;0,3101;0,1985;1
5062501;05-06;25;Villarreal;Espanyol;0,528;0,2743;0,1977;1
5062502;05-06;25;Sevilla;Celta Vigo;0,4676;0,29;0,2424;1
5062503;05-06;25;Cadiz CF;Osasuna;0,3542;0,2931;0,3528;2
5062504;05-06;25;Barcelona;Betis;0,7442;0,1686;0,0872;1
5062505;05-06;25;Real Sociedad;Valencia;0,2454;0,2924;0,4622;2
5062506;05-06;25;Getafe;Atl. Madrid;0,3579;0,2925;0,3496;2
5062507;05-06;25;Malaga;Mallorca;0,4524;0,2897;0,2579;2
5062508;05-06;25;Real Madrid;Alaves;0,7424;0,1699;0,0877;1
5062509;05-06;25;Racing Santander;Ath Bilbao;0,4132;0,2925;0,2944;2
5062510;05-06;25;Levante;Murcia;0,4979;0,3066;0,1955;1
5062511;05-06;25;Xerez CD;Numancia;0,4915;0,3112;0,1973;X
5062512;05-06;25;Hercules;Castellon;0,4487;0,3127;0,2387;1
5062513;05-06;25;Gijon;Malaga B;0,5265;0,2942;0,1793;X
5062514;05-06;25;Valladolid;Recreativo Huelva;0,3792;0,3233;0,2976;2
5062601;05-06;26;Valencia;Getafe;0,6637;0,2105;0,1258;X
5062602;05-06;26;Betis;Real Sociedad;0,4795;0,2862;0,2342;1
5062603;05-06;26;Zaragoza;Barcelona;0,2075;0,2736;0,5189;2
5062604;05-06;26;Celta Vigo;Cadiz CF;0,5657;0,2604;0,1739;1
5062605;05-06;26;Espanyol;Sevilla;0,3066;0,2948;0,3986;1
5062606;05-06;26;Ath Bilbao;Villarreal;0,3765;0,2954;0,3281;X
5062607;05-06;26;Alaves;Racing Santander;0,3621;0,2986;0,3394;X
5062608;05-06;26;Mallorca;Real Madrid;0,1517;0,2435;0,6048;1
5062609;05-06;26;Osasuna;Dep. La Coruna;0,4164;0,2886;0,2951;2
5062610;05-06;26;Castellon;Granada 74;0,3753;0,3275;0,2972;2
5062611;05-06;26;Numancia;Hercules;0,4838;0,3093;0,2069;X
5062612;05-06;26;Xerez CD;Lleida;0,5221;0,2993;0,1785;2
5062613;05-06;26;Albacete;Levante;0,3741;0,3265;0,2993;X
5062614;05-06;26;Almeria;Tenerife;0,486;0,3069;0,2072;1
5062701;05-06;27;Villarreal;Alaves;0,5788;0,2635;0,1577;1
5062702;05-06;27;Sevilla;Ath Bilbao;0,5311;0,2785;0,1903;1
5062703;05-06;27;Cadiz CF;Espanyol;0,3795;0,295;0,3255;1
5062704;05-06;27;Celta Vigo;Osasuna;0,4428;0,2938;0,2634;1
5062705;05-06;27;Barcelona;Dep. La Coruna;0,6212;0,2468;0,132;1
5062706;05-06;27;Real Sociedad;Zaragoza;0,3832;0,299;0,3178;2
5062707;05-06;27;Getafe;Betis;0,3948;0,2961;0,3091;1
5062708;05-06;27;Malaga;Valencia;0,1756;0,2677;0,5567;X
5062709;05-06;27;Racing Santander;Mallorca;0,4406;0,2937;0,2656;X
5062710;05-06;27;Levante;Gimnastic;0,4352;0,3179;0,247;X
5062711;05-06;27;Racing Club Ferrol;Murcia;0,3772;0,3261;0,2967;X
5062712;05-06;27;Tenerife;Castellon;0,4712;0,313;0,2157;X
5062713;05-06;27;Gijon;Almeria;0,3723;0,3286;0,2991;1
5062714;05-06;27;Lleida;Elche;0,4182;0,3185;0,2632;X
5062801;05-06;28;Betis;Malaga;0,5297;0,2794;0,1909;X
5062802;05-06;28;Zaragoza;Getafe;0,5274;0,2781;0,1944;2
5062803;05-06;28;Dep. La Coruna;Real Sociedad;0,561;0,2674;0,1716;2
5062804;05-06;28;Espanyol;Celta Vigo;0,3848;0,2942;0,3211;1
5062805;05-06;28;Ath Bilbao;Cadiz CF;0,5143;0,2791;0,2066;1
5062806;05-06;28;Alaves;Sevilla;0,3298;0,2957;0,3745;1
5062807;05-06;28;Mallorca;Villarreal;0,3515;0,2929;0,3556;X
5062808;05-06;28;Atl. Madrid;Racing Santander;0,5688;0,2558;0,1754;1
5062809;05-06;28;Osasuna;Barcelona;0,1799;0,2728;0,5473;1
5062810;05-06;28;Numancia;Tenerife;0,4525;0,3166;0,2309;1
5062811;05-06;28;Hercules;Lleida;0,4115;0,3262;0,2623;1
5062812;05-06;28;Murcia;Elche;0,4142;0,3304;0,2553;1
5062813;05-06;28;Recreativo Huelva;Levante;0,4136;0,3263;0,2601;1
5062814;05-06;28;Almeria;Valladolid;0,4302;0,3166;0,2533;1
5062901;05-06;29;Villarreal;Atl. Madrid;0,3964;0,2889;0,3147;X
5062902;05-06;29;Sevilla;Mallorca;0,5424;0,2728;0,1848;X
5062903;05-06;29;Cadiz CF;Alaves;0,4748;0,2915;0,2338;X
5062904;05-06;29;Celta Vigo;Ath Bilbao;0,478;0,2824;0,2396;2
5062905;05-06;29;Espanyol;Osasuna;0,433;0,2914;0,2756;2
5062906;05-06;29;Getafe;Dep. La Coruna;0,3695;0,2937;0,3369;2
5062907;05-06;29;Malaga;Zaragoza;0,3697;0,292;0,3383;2
5062908;05-06;29;Real Madrid;Betis;0,6829;0,2102;0,1069;X
5062909;05-06;29;Racing Santander;Valencia;0,2275;0,2848;0,4877;1
5062910;05-06;29;Elche;Albacete;0,3973;0,3265;0,2763;1
5062911;05-06;29;Granada 74;Hercules;0,4561;0,3209;0,223;1
5062912;05-06;29;Tenerife;Xerez CD;0,3357;0,326;0,3383;1
5062913;05-06;29;Gijon;Numancia;0,4012;0,3277;0,2711;1
5062914;05-06;29;Valladolid;Castellon;0,5322;0,2968;0,171;1
5063001;05-06;30;Villarreal;Betis;0,4754;0,2964;0,2282;2
5063002;05-06;30;Sevilla;Valencia;0,3729;0,2959;0,3312;1
5063003;05-06;30;Cadiz CF;Atl. Madrid;0,3105;0,2917;0,3978;X
5063004;05-06;30;Celta Vigo;Mallorca;0,4771;0,288;0,2349;1
5063005;05-06;30;Espanyol;Alaves;0,485;0,2864;0,2286;X
