Temporada;Jornada;Recaptació;Pot;15;14;13;12;11;10
06-07;25;13344257,00;0;17;58;1737;20540;148333;669338
06-07;26;13783687,50;0;1;3;127;2230;23232;151072
06-07;27;13857170,00;0;2;7;196;3352;31567;192814
06-07;28;13312670,50;0;0;0;28;582;5856;39474
06-07;29;15154053,50;0;1;1;104;1945;20084;127991
06-07;30;8226592,50;0;33;267;5145;49294;246870;808292
06-07;31;13231501,00;0;4;7;191;2027;19145;130463
06-07;32;13000000,00;0;1;30;1056;12767;90829;421976
06-07;33;13505986,00;0;11;12;466;6419;54337;300561
06-07;34;12935404,50;0;105;148;3646;37845;224823;866396
06-07;35;12946143,00;0;12;19;732;9920;72305;340647
06-07;36;12838849,00;0;6;14;237;3431;30503;184052
06-07;37;12886254,00;0;3;7;319;4512;40172;231322
06-07;38;12562799,00;0;10;17;867;11039;75976;349736
06-07;39;12852001,00;0;10;12;286;3684;29666;159917
06-07;40;7042050,50;0;2;5;226;3790;33834;184469
06-07;41;12363629,50;0;0;0;17;356;3946;29076
06-07;42;14968705,50;0;0;42;957;9508;69206;348672
07-08;01;9424730,00;0;0;0;11;330;2721;16804
07-08;02;11066702,50;2073441;2;7;247;3514;28127;148455
07-08;03;6734645,00;0;0;1;51;663;5575;34877
07-08;04;12712807,00;673465;17;40;1166;14740;111601;526358
07-08;05;12938911,50;0;14;64;1844;24451;176680;778798
07-08;06;5747714,00;0;6;14;499;8485;74137;385189
07-08;07;12684560,00;0;16;69;2032;27059;187324;799884
07-08;08;14979184,50;0;13;25;896;15407;130650;672634
07-08;09;8063534,00;0;1;1;42;718;6805;40534
07-08;10;14229287,00;0;3;5;192;3019;26253;152131
07-08;11;14307187,00;0;22;46;1184;15262;112425;541559
07-08;12;8302299,00;0;11;26;1049;14502;110505;488270
07-08;13;11761099,00;0;3;6;109;1414;12261;72563
07-08;14;3813141,50;0;7;44;4197;45668;232525;681360
07-08;15;13541154,50;343183;5;13;407;5717;47530;265822
07-08;16;8326383,00;0;18;28;579;6563;48868;236788
07-08;17;14333351,00;0;1;2;75;1003;8020;48337
07-08;18;2981324,50;0;4;7;150;1940;14767;75477
07-08;19;12853025,50;0;0;1;69;927;7700;46210
07-08;20;13329110,00;0;0;0;146;2831;28610;185879
07-08;21;15807032,50;4217707;29;78;1602;16787;108865;481034
